/home/liuyunqi/trees/toy_scalar_dev/work/rtl_compile/simv +HEX=/tools/zdchen/riscv-proj/hello_world/build/coremark_itcm.hex +DATA_HEX=/tools/zdchen/riscv-proj/hello_world/build/coremark_dtcm.hex  +TIMEOUT=0
Chronologic VCS simulator copyright 1991-2022
Contains Synopsys proprietary information.
Compiler version T-2022.06_Full64; Runtime version T-2022.06_Full64;  Jan 28 15:49 2024
[SYSTEM] Timeout threshold is set to 0 cycles.
[J] current inst[800054e8]=e1dff06f, jal to dest pc 80005304.
[J] current inst[80005334]=7c9000ef, jal to dest pc 800062fc.
[J] current inst[80006468]=f34fc06f, jal to dest pc 80002b9c.
[J] current inst[80002bf0]=00c68067, jalr to dest pc 80002c0c.
[J] current inst[80002c30]=00008067, jalr to dest pc 80005338.
[J] current inst[800053e0]=7fc010ef, jal to dest pc 80006bdc.
[J] current inst[80006bf0]=00008067, jalr to dest pc 800053e4.
[J] current inst[80005400]=c71ff0ef, jal to dest pc 80005070.
[J] current inst[800050a4]=b8dff0ef, jal to dest pc 80004c30.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
[J] current inst[80004c84]=00c0006f, jal to dest pc 80004c90.
[J] current inst[80004ca0]=0080006f, jal to dest pc 80004ca8.
